tree,no_of_nodes,tree_depth,window_sizes
tree_0,653,24,5000
tree_1,645,24,5000
tree_2,501,24,5000
tree_3,407,21,5000
tree_4,443,23,5000
tree_5,365,23,5000
tree_6,339,26,5000
tree_7,357,19,5000
tree_8,365,21,5000
tree_9,373,22,5000
tree_10,497,27,5000
tree_11,423,23,4419
