tree,no_of_nodes,tree_depth,window_sizes
tree_0,649,24,5000
tree_1,643,23,5000
tree_2,511,24,5000
tree_3,413,21,5000
tree_4,441,23,5000
tree_5,371,25,5000
tree_6,339,26,5000
tree_7,361,19,5000
tree_8,367,21,5000
tree_9,367,21,5000
tree_10,495,27,5000
tree_11,417,23,4419
