tree,no_of_nodes,tree_depth,window_sizes
tree_0,639,24,5000
tree_1,647,24,5000
tree_2,513,24,5000
tree_3,419,21,5000
tree_4,443,23,5000
tree_5,369,25,5000
tree_6,345,26,5000
tree_7,361,20,5000
tree_8,369,21,5000
tree_9,367,21,5000
tree_10,487,26,5000
tree_11,423,23,4419
