tree,no_of_nodes,tree_depth,window_sizes
tree_0,649,24,5000
tree_1,647,24,5000
tree_2,513,24,5000
tree_3,405,21,5000
tree_4,447,24,5000
tree_5,371,26,5000
tree_6,343,26,5000
tree_7,359,19,5000
tree_8,367,21,5000
tree_9,371,21,5000
tree_10,485,27,5000
tree_11,419,23,4419
