tree,no_of_nodes,tree_depth,window_sizes
tree_0,649,24,5000
tree_1,651,24,5000
tree_2,515,24,5000
tree_3,415,21,5000
tree_4,443,23,5000
tree_5,367,23,5000
tree_6,347,26,5000
tree_7,359,19,5000
tree_8,365,21,5000
tree_9,367,21,5000
tree_10,489,26,5000
tree_11,425,23,4419
